model;R2;RMSE;MAE;n_estimators;max_depth;min_samples_split;min_samples_leaf;max_features;shap_danceability;shap_energy;shap_loudness;shap_mode;shap_speechiness;shap_acousticness;shap_instrumentalness;shap_liveness;shap_valence;shap_tempo;shap_duration_ms;shap_key_1;shap_key_2;shap_key_3;shap_key_4;shap_key_5;shap_key_6;shap_key_7;shap_key_8;shap_key_9;shap_key_10;shap_key_11;shap_time_signature_1;shap_time_signature_3;shap_time_signature_4;shap_time_signature_5
rock;0.02942259884434395;11.292148394187604;7.933276423619474;300;10;2;4;;0.1818353542114429;0.252041300035648;1.1538260506386957;0.21461747335153786;0.19639942459490914;0.19915474294355007;0.20725245188213684;0.06350036592169209;0.7490934577084951;0.4849649616941707;0.33312719483978825;0.05142642451965261;0.2606300579221464;0.013761309409743733;0.14719724263109768;0.04419765360868911;0.03501446383209249;0.0670814037746851;0.029146310788069705;0.2716643053538997;0.11251785172681489;0.05197903389362411;0.0;0.07285486274644276;0.024084197009240322;0.0025954708826974207
electronic;0.1185681888864325;11.76943028795328;9.93354647655599;100;10;2;4;;0.6431257715824014;0.17666551413560655;0.6196831538375889;1.4165139741042558;0.21155399282586115;0.40929976027919535;0.7388846543272105;0.18586371131717339;1.3361507583462244;0.25599878257055214;0.7400498256223569;0.14766834163996925;0.044923216368317975;0.041278313573486436;0.04960406288351051;0.07498566345428569;0.05552082557551012;0.046203349286222974;0.037201766427152935;0.11127407830209346;0.07807551937055285;0.04392208478753676;0.0033491974865299964;0.05562180095088516;0.3245671277183292;0.0013332792802113387
hip-hop;0.08309873378442312;13.552242031208772;10.827258814261812;1000;20;10;4;;0.22979468256620325;1.078411293448215;0.22464089309795382;0.27932116359739606;0.6962714819242876;0.6962605755822369;0.11417871694811967;0.5125063833942455;1.3316458028741252;0.7216527834177964;1.514490346900234;0.1081386011360892;0.05918430109032538;0.038308110584752905;0.1030018909464883;0.19964162221745752;0.15380399584812238;0.07305739687099978;0.05499223859321408;0.05403909317184006;0.06261049690855516;0.2165376142680323;0.0015241248019047984;0.010042032970171578;0.03876317278845101;0.015037830278539645
folk;0.058402660514218274;11.180718879086063;8.876202390263993;300;30;10;4;sqrt;0.611876172186386;0.15712638337808194;0.18376019152502943;0.17207057224171213;0.09020904312418608;0.1354524372628573;0.45061699298580027;0.4672795824147971;0.8347110575626121;0.11171905662856602;0.23644396622504885;0.3247055454725326;0.3027685204884384;0.03882201530345175;0.053320500727188615;0.04031112470538073;0.04509615239170308;0.14814970216888;0.13792310863685536;0.049847854935652705;0.031965553049104256;0.05284242409248241;0.04466558923444946;0.1589596740264301;0.09362997198548352;0.009472722419391507
pop;0.08212242292145788;12.798475542343695;9.634188548338924;700;10;10;4;;0.4878743917343692;1.1216775890843496;0.2373741101293081;0.13050150245306202;0.27900925681275995;0.34972245381616834;0.15112222789663693;0.3285549636166703;0.7358113283426809;0.09572793350553654;1.3128673201847634;0.05112322047586556;0.16279356198096484;0.012482406522939466;0.03612733926616528;0.11355956166061959;0.041267476947134424;0.20385273863519138;0.025773221734196272;0.0734537751127517;0.05425396171106481;0.03665823250124872;0.00020040169095473636;0.020277076527780956;0.04761737054674586;0.0069579005373021224
classical;0.0799658202570156;10.112748736952064;7.874645776336026;1000;10;2;4;;0.1335432630219767;0.35361303405420574;0.42950160481426314;0.6965961056774544;0.05953105677719915;0.4226701452652261;1.037694736087154;0.09919993048185455;0.8133049931947325;0.13187355486417;0.6959873497815533;0.014332758308256081;0.04746031467697071;0.017033640508358434;0.09781444672433637;0.04194472242472941;0.10164292407593871;0.048853673643382126;0.07019111147402496;0.07711959427405168;0.02752172772604399;0.023642341464536875;0.013660839998931909;0.10173034078536117;0.19737942613638482;0.03272753070975004
jazz;0.10994549039200119;10.167881193907078;7.9668624065769444;100;20;10;4;;0.41734183107586825;1.189073259943853;0.1499957894152859;0.17552232228374573;0.12924040834955344;0.33257146765985185;0.5090798637945604;0.31452371443381305;0.8276266641345457;0.13600467307130748;1.5449820325053327;0.0696918923786504;0.12331293508949968;0.026556852609894925;0.05861124100531601;0.06347890878687695;0.06473499380626918;0.06740072944432712;0.03895414590794098;0.13696033571211066;0.10241581928901833;0.03614335814607058;0.0006575804596429487;0.07936312243949856;0.07903867977782887;0.00047405361572727027
country;0.1277541372133988;12.827995267750861;10.13780561186942;500;10;2;4;;0.06951455793510508;0.39895816993924327;2.308463081459542;0.09531292879235666;0.15835464544295333;0.41800970389389197;0.09228238383452832;0.4377126227844318;1.0205950284374488;0.2267758365372572;1.1152713361401643;0.10514056807903738;0.12407362983994345;0.17550288339459028;0.0229852708972606;0.07615088279524822;0.4175538207120084;0.06116991069921528;0.11173742465871309;0.07219462151115122;0.04054016889332422;0.16589496008454996;0.0;0.032825175131310926;0.038563125960850195;0.001056654802721006
soul;0.13335486824203757;12.052859806860512;9.932705749806098;500;20;10;4;;0.7053273294598225;0.17160508704746133;0.2434549432613472;0.40588920767167985;0.1675764269195191;0.5249616015354222;1.054195958353029;0.41344795101890286;1.2326250142314008;0.22784876840919244;2.4744179763410292;0.06151513625098441;0.06932332587720355;0.027619595941793373;0.2571186800110239;0.1224679501091454;0.16025046540394716;0.08713118981958118;0.11380517897411763;0.04701216897332884;0.06543675199573779;0.12313776329149645;0.008024515629572293;0.14224052869855575;0.07300957426804669;0.01621749113966452
blues;0.0183421698876991;9.556145372984307;7.5707946268799375;100;10;5;2;log2;0.05907992863457683;0.07361430047052595;0.09250504891949425;0.38904728321996024;0.06161685603108052;0.33080106087408345;0.10414666844270926;0.39512785743014944;0.2142623521328153;0.04849186518937999;0.08326859109981251;0.07821858546013054;0.05860627041399242;0.022518005432310417;0.10861381679854078;0.15848051165328658;0.022350010449284443;0.06063221733787652;0.031658632232942685;0.11360497051581259;0.013788669664722919;0.0469780929288615;0.003644243248105171;0.02652826954444539;0.030122834999574712;0.00167442754686774
