model,R2,RMSE,MAE,Estimated avg error in points,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,shap_year,shap_danceability,shap_energy,shap_loudness,shap_mode,shap_speechiness,shap_acousticness,shap_instrumentalness,shap_liveness,shap_valence,shap_tempo,shap_duration_ms,shap_key_1,shap_key_2,shap_key_3,shap_key_4,shap_key_5,shap_key_6,shap_key_7,shap_key_8,shap_key_9,shap_key_10,shap_key_11,shap_time_signature_1,shap_time_signature_3,shap_time_signature_4,shap_time_signature_5
rock,0.23295231111461268,10.038588962701539,7.401959932720484,127.31486070973568,500,10,10,4,,4.268829896355102,0.13629187560851755,0.08108885047840954,0.5095921277742127,0.1950611700897718,0.08867626225394622,0.14697062632902194,0.3083197737091009,0.057895911417086325,0.34829124699219804,0.32625658301848726,0.08801573503844361,0.06700576321263996,0.05537602138268238,0.020045753381019164,0.04340979950578069,0.035539476470705884,0.09685984555654896,0.0872668836884542,0.051693376194181816,0.09188501231444968,0.027335118645802584,0.03146194471685862,0.0,0.030409738921976806,0.016269965169237493,0.0008146737682741594
electronic,0.7176763652315077,6.660927383667303,4.996856609614881,82.20544328890982,1000,10,2,4,,9.270917454060589,0.4392744631437345,0.19886022419743252,0.2907901122538533,0.21706147313081733,0.15442900932723455,0.19171966796732545,0.2209929011446256,0.05671534330869661,0.11256985638365298,0.16503422128902057,0.07413297815133191,0.06548826197086965,0.03996321041000722,0.00536629469970883,0.033212620601789956,0.042675238947498265,0.03139257545470912,0.025708516394699038,0.03301714057800695,0.03228770392076586,0.019040672927500925,0.03556182086017077,0.0,0.006559638786234674,0.026432946487785675,0.004862170909666618
hip-hop,0.34505609706853646,11.453861166948968,8.548436405665269,156.4602303578881,300,10,2,4,,7.5094200112332015,0.07781337831469741,0.1702879362082266,0.09200044974213181,0.20169784748427397,0.6770857629310959,0.2699764736770183,0.015054641120615886,0.12804881508971927,0.27566418065215836,0.18685444279882307,0.180214423908851,0.12727392471965426,0.04758969503929964,0.016528833347086512,0.03331364114718487,0.1073898221840056,0.16257337556323997,0.11731797646633205,0.03363685898450979,0.06710595090971341,0.04355659108122656,0.16145751818645762,0.0008935271388193047,0.00503707311076676,0.04821215924782494,0.026198826107902702
folk,0.27306746885540123,9.8239053351723,7.736410281724686,114.90029715908844,1000,10,10,4,,5.324950175315476,0.4523762557432846,0.16156190043168947,0.1826135506331188,0.2757413096853036,0.07824493607418828,0.20471729771745628,0.33093060090777154,0.29530807237860424,0.16732705776466583,0.08077510915602504,0.18679068257921308,0.23338590430353454,0.15823596148102156,0.07427098580478074,0.0325748955769766,0.02576546554296309,0.027630001784840354,0.07661514347758362,0.03282863013924137,0.07920741534094346,0.02010668141444188,0.026780559098311278,0.010707858909826316,0.07811214138344806,0.07695896917167457,0.009252847391249978
pop,0.3521632847811269,10.752232364425666,7.839164247531784,135.99558199520487,700,10,2,4,,6.499022625922059,0.20028236149617112,0.17378232248736752,0.1635310858045892,0.1595546639674097,0.2043426483299478,0.28016183756556484,0.09888436445592569,0.15195713370122493,0.10624510734970632,0.15889422296019337,0.1301827145319935,0.04480634099885997,0.09130325600770174,0.018545514575883614,0.04531887127922344,0.14551382288754772,0.022426256649504425,0.10944999999326958,0.034778282005092864,0.0378727766582804,0.04053553482415746,0.06641894278665005,0.0,0.026366833851231536,0.031938512998908576,0.0002218902733002857
classical,0.35067556907233766,8.495679253363534,6.534698238341003,90.77361122646319,300,10,2,4,,3.437980067926197,0.11644747026147487,0.2369957161419025,0.3000263201092996,0.43173685673522233,0.037415957898486354,0.48991353039062635,0.4595230200433827,0.04898662757777526,0.37000118352953804,0.11590340021568044,0.30472899977485673,0.02000598052216395,0.04361211098281145,0.014956451715059079,0.10633348999286589,0.023295089609969843,0.0550523398468433,0.049976838142393065,0.05288116074111097,0.08698311904784424,0.029637449376178585,0.024113730779208354,0.0068345271631094565,0.08110925625499521,0.1392845136956824,0.02788203537908637
jazz,0.2677138841241017,9.222795109543323,6.846409316313833,98.97871532685686,500,20,2,4,,4.619857273349332,0.2363988170168817,0.5556437812960071,0.14283281636880166,0.2625343847992584,0.11748289636386808,0.340419267715511,1.173128755463855,0.15972528473749736,0.27828671546920325,0.1708739777982328,0.330947806808555,0.03988464587183838,0.06649581259592646,0.04078733786560965,0.049143237842186056,0.05290818639601876,0.03558602949655632,0.0532414844125191,0.04309458606333326,0.18252142271099328,0.08995932818871037,0.025784463756995547,0.0001315827819949578,0.02858282813376032,0.07313110117585037,0.0005504711174300618
country,0.4220555163890529,10.441968851161688,7.888937591359256,137.9027447403417,100,10,10,4,,7.138283971188719,0.09044838433865353,0.11356182282767271,0.43894049146117675,0.05748135302323216,0.05689762136027513,0.1576317800762761,0.030911373427090747,0.26022637399080384,0.09591729001938706,0.08864001646764141,0.13773544840500687,0.04458942646495574,0.06936773054068819,0.1581266639382691,0.05233721504386685,0.07279111172149667,0.15434279852851648,0.09788283515105181,0.06353822078313233,0.07779156921840573,0.14522506556943834,0.07101593669154274,0.0,0.02612653539285455,0.041693590071122395,0.0009824223515635033
soul,0.506210296494684,9.097885548271742,7.021413604746544,118.864440941954,300,10,2,4,,8.355017878482874,0.1784376296237058,0.11886300011994137,0.10671915841047436,0.2277227685136278,0.15700887958347717,0.21867506669096545,0.06156298879593302,0.07379372089457759,0.17996601614448293,0.13198827863133963,0.2024499264493201,0.083457523507111,0.05949595302344591,0.029657701634385532,0.1276477549213946,0.09287627624426703,0.06720311503541206,0.029510279392160974,0.04827003215241833,0.024948216426880658,0.0313698924649226,0.08717252910795938,0.004888611573613622,0.027717381033234446,0.030485118852640644,0.006011104611741431
blues,0.12811706928210775,9.005996378526369,7.041277432521989,90.45381190942463,700,10,10,4,,2.769224343746515,0.10530088410105626,0.09485483873824718,0.10386284907009945,0.30244257661827845,0.1262144231053929,0.22096540096068532,0.08383138556536589,0.5165693102616602,0.1733748998820968,0.08308456832460072,0.08021549717860542,0.11397379211948805,0.054854191009946734,0.05829538681057595,0.057147552110725856,0.1448795207338406,0.02582369635071361,0.04149976343058702,0.07374875660327261,0.22712743221755308,0.009823576262899907,0.07452458715518326,0.0072598374061196794,0.04209865111775111,0.041963948511178,2.4101418200328505e-05
